,Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary,Country,Salary_Amount,Salary_Currency,Salary_USD
16929,Youssef Abdullah,Youssef,Abdullah,M,1966-02-25,1996-01-13,youssef.abdullah@gmail.com,59,30,Jeddah,Graphic Designer,M,Diploma,9148.83 AUD,Saudi Arabia,9148,AUD,5946.2
16930,Asmaa Mahmoud,Asmaa,Mahmoud,F,1968-03-21,2006-12-27,asmaa.mahmoud@gmail.com,57,19,London,Architect,M,Masters,9441.42 GBP,United Kingdom,9441,GBP,11801.25
16931,Ihab Tawfik,Ihab,Tawfik,M,2003-08-26,2024-12-10,itawfik@gmail.com,22,1,Berlin,Dentist,S,Diploma,63463.57428571429 JPY,Germany,63463,JPY,418.86
16932, Khalil Hesham ,Khalil,Hesham,M,2000-07-09,2021-03-13,khalil.hesham@gmail.com,25,4,Berlin,Doctor,S,Master,5105.58 JPY,Germany,5105,JPY,33.69
16933,Mostafa Hatem,Mostafa,Hatem,M,1981-10-13,2003-09-25,mhatem@gmail.com,44,22,Muscat,Civil Engineer,M,Master,115659.0 JPY,Oman,115659,JPY,763.35
16934,Maged Hamza,Maged,Hamza,M,1993-06-10,2019-07-19,mhamza@gmail.com,32,6,London,Pharmacist,S,Bachelor,8010.42 AUD,United Kingdom,8010,AUD,5206.5
16935,Khadija Ali,Khadija,Ali,F,2007-03-18,2025-08-25,khadija.ali@gmail.com,18,0,Rabat,Software Developer,S,Bachelor,75625.9248275862 JPY,Morocco,75625,JPY,499.12
16936,Mariam Eslam,Mariam,Eslam,F,1994-04-07,2015-11-22,meslam@gmail.com,31,10,Buenos Aires,Civil Engineer,S,Diploma,8724.25 GBP,Argentina,8724,GBP,10905.0
16937,Sana Galal,Sana,Galal,F,1996-02-08,2018-10-13,sana.galal@gmail.com,29,7,Moscow,Electrical Engineer,S,Masters,8062.42 USD,Russia,8062,USD,8062.0
16938,Rana Ziad,Rana,Ziad,F,2006-11-13,2025-02-26,rana.ziad@gmail.com,18,0,Cairo,Nurse,M,High School,51661.53710144928 GBP,Egypt,51661,GBP,64576.25
16939,Eslam Sherif,Eslam,Sherif,M,1969-06-14,1987-07-05,eslam.sherif@gmail.com,55,38,Los Angeles,Data Scientist,S,Bachelor,8894.17 CAD,United States,8894,CAD,6492.62
16940,Khaled Saad*,Khaled,Saad,M,1985-10-18,2009-01-26,khaled.saad@gmail.com,40,17,Cape Town,Dentist,S,Master,113464.0 AUD,South Africa,113464,AUD,73751.6
16941,Ali Hossam,Ali,Hossam,M,1985-06-07,2012-02-06,ali.hossam@gmail.com,40,14,Riyadh,Engineer,S,Masters,12106.83 CAD,Saudi Arabia,12106,CAD,8837.38
16942,Esraa Osama,Esraa,Osama,F,1983-07-21,2013-04-13,esraa.osama@gmail.com,42,12,Dammam,Financial Analyst,S,Bachelor,116888.0 USD,Saudi Arabia,116888,USD,116888.0
16943,Wael Galal,Wael,Galal,M,1967-02-21,2005-09-14,wael.galal@gmail.com,58,20,Dammam,Business Analyst,M,Bachelor,10434.67 USD,Saudi Arabia,10434,USD,10434.0
16944,Waleed Mounir,Waleed,Mounir,M,1966-04-08,2009-02-18,waleed.mounir@gmail.com,59,16,Muscat,Mechanical Engineer,M,Master,132650.0 JPY,Oman,132650,JPY,875.49
16946,Hanan Rafik,Hanan,Rafik,F,1976-11-25,2019-04-21,hanan.rafik@gmail.com,49,6,Los Angeles,Accountant,S,Masters,85346.0 JPY,United States,85346,JPY,563.28
16948,Mohamed Tawfik,Mohamed,Tawfik,M,1984-03-08,2005-10-01,mohamed.tawfik@gmail.com,41,20,Bangkok,Dentist,M,Bachelor,11860.92 EUR,Thailand,11860,EUR,12690.2
16949,Samar Hatem,Samar,Hatem,F,1977-08-22,1995-11-05,shatem@gmail.com,48,30,Mumbai,Software Developer,S,High School,8343.42 USD,India,8343,USD,8343.0
16950,Aisha Latif,Aisha,Latif,F,1990-08-10,2013-04-19,aisha.latif@gmail.com,35,12,São Paulo,Doctor,S,Bachelor,115747.0 EGP,Brazil,115747,EGP,3703.9
16951,Ruqayya Ali,Ruqayya,Ali,F,1998-12-15,2024-05-03,rali@gmail.com,27,1,Moscow,Pharmacist,M,High School,57727.558461538465 AUD,Russia,57727,AUD,37522.55
16952,Nabil Hany,Nabil,Hany,M,2003-12-25,2024-02-29,nabil.hany@gmail.com,22,1,Mexico City,Data Scientist,M,High School,50406.52533333333 AUD,Mexico,50406,AUD,32763.9
16953,Ayman Ahmed,Ayman,Ahmed,M,1970-04-12,1988-11-18,ayman.ahmed@gmail.com,55,37,Dammam,Civil Engineer,S,Masters,119691.0 JPY,Saudi Arabia,119691,JPY,789.96
16954,Fady Khaled,Fady,Khaled,M,1980-10-19,2013-01-27,fkhaled@gmail.com,45,13,Kuwait City,Lawyer,M,Bachelor,9078.58 JPY,Kuwait,9078,JPY,59.91
16956,Ayman Tamer,Ayman,Tamer,M,1982-04-11,2018-07-26,ayman.tamer@gmail.com,43,7,Jeddah,Civil Engineer,S,Bachelor,88412.0 USD,Saudi Arabia,88412,USD,88412.0
16957,Hesham Ashraf,Hesham,Ashraf,M,1984-02-20,2006-01-30,hesham.ashraf@gmail.com,41,20,Tokyo,Nurse,M,Bachelor,11573.17 AUD,Japan,11573,AUD,7522.45
16958,Rania Kamal,Rania,Kamal,F,1976-05-13,1995-04-10,rania.kamal@gmail.com,49,30,Sydney,Pharmacist,S,Diploma,136249.0 GBP,Australia,136249,GBP,170311.25
16959,Omar Ziad,Omar,Ziad,M,1970-02-07,2002-01-16,omar.ziad@gmail.com,55,24,Seoul,Financial Analyst,S,PhD,8612.83 EGP,South Korea,8612,EGP,275.58
16960,Sherif Jamal,Sherif,Jamal,M,1999-09-03,2024-09-20,sjamal@gmail.com,26,1,Abu Dhabi,Accountant,M,Masters,54939.844000000005 CAD,United Arab Emirates,54939,CAD,40105.47
16961,Abdelrahman Fouad,Abdelrahman,Fouad,M,2003-08-01,2026-02-07,afouad@gmail.com,22,0,Muscat,Civil Engineer,M,Masters,35563.15517241379 AUD,Oman,35563,AUD,23115.95
16962,Aisha Waleed,Aisha,Waleed,F,1971-04-17,2007-12-21,aisha.waleed@gmail.com,54,18,Bangkok,Mechanical Engineer,M,Bachelor,8355.75 EUR,Thailand,8355,EUR,8939.85
16963,Rana Khaled,Rana,Khaled,F,1977-01-28,2021-11-03,rana.khaled@gmail.com,48,4,Beirut,Architect,M,Bachelor,5739.5 CAD,Lebanon,5739,CAD,4189.47
16964,Maged Kareem,Maged,Kareem,M,1975-08-26,2000-10-23,mkareem@gmail.com,50,25,Muscat,Electrical Engineer,S,High School,12262.5 GBP,Oman,12262,GBP,15327.5
16965,Noha Khalil,Noha,Khalil,F,1969-06-12,2004-12-17,nkhalil@gmail.com,55,21,Buenos Aires,Architect,M,Diploma,11374.42 USD,Argentina,11374,USD,11374.0
16966,Khadija Ayman,Khadija,Ayman,F,1988-01-24,2012-10-13,khadija.ayman@gmail.com,37,13,Tokyo,Accountant,M,Diploma,12430.75 EGP,Japan,12430,EGP,397.76
16967,Radwa Abdelrahman,Radwa,Abdelrahman,F,2004-06-24,2023-08-14,radwa.abdelrahman@gmail.com,21,2,Seoul,Data Scientist,S,Master,58275.0 JPY,South Korea,58275,JPY,384.62
16968,Wafaa Sami,Wafaa,Sami,F,2001-09-14,2020-11-15,wafaa.sami@gmail.com,24,5,Kuwait City,Business Analyst,M,Bachelor,6816.83 AUD,Kuwait,6816,AUD,4430.4
16969,Sana Fady,Sana,Fady,F,2000-04-22,2024-03-12,sfady@gmail.com,25,1,Mexico City,Data Scientist,M,Bachelor,50406.52533333333 AUD,Mexico,50406,AUD,32763.9
16970,Nabil Amr,Nabil,Amr,M,1992-10-16,2021-06-17,nabil.amr@gmail.com,33,4,Beijing,Teacher,M,Bachelor,5194.33 CAD,China,5194,CAD,3791.62
16971,Mariam Hesham,Mariam,Hesham,F,1977-11-05,2021-06-23,mariam.hesham@gmail.com,48,4,Bangkok,Teacher,S,Bachelor,4191.92 USD,Thailand,4191,USD,4191.0
16972,Hala Medhat,Hala,Medhat,F,1996-07-12,2015-07-29,hmedhat@gmail.com,29,10,Istanbul,Civil Engineer,S,Master,11585.25 USD,Turkey,11585,USD,11585.0
16973, Mohamed Hossam ,Mohamed,Hossam,M,1983-07-14,2022-04-21,mohamed.hossam@gmail.com,42,3,London,Sales Manager,M,Bachelor,55929.0 CAD,United Kingdom,55929,CAD,40828.17
16974,Latif Mostafa,Latif,Mostafa,M,2007-03-21,2025-02-16,latif.mostafa@gmail.com,18,0,Los Angeles,Architect,M,Bachelor,65387.32298245614 CAD,United States,65387,CAD,47732.51
16975,Eslam Hesham,Eslam,Hesham,M,1988-07-24,2011-08-02,eslam.hesham@gmail.com,37,14,Dammam,Doctor,S,Bachelor,8857.67 JPY,Saudi Arabia,8857,JPY,58.46
16976,Nada Fouad,Nada,Fouad,F,1976-12-12,2022-08-27,nada.fouad@gmail.com,49,3,Seoul,Business Analyst,M,Master,4928.17 EUR,South Korea,4928,EUR,5272.96
16977,Sara Wael,Sara,Wael,F,1974-05-03,2021-08-08,sara.wael@gmail.com,51,4,Mumbai,Mechanical Engineer,M,Bachelor,59380.0 AUD,India,59380,AUD,38597.0
16978,Reem Zaki,Reem,Zaki,F,1965-10-09,2012-12-22,reem.zaki@gmail.com,59,13,Paris,Graphic Designer,S,Diploma,126590.0 AUD,France,126590,AUD,82283.5
16979,Jamal Saad,Jamal,Saad,M,2005-07-04,2025-11-14,jamal.saad@gmail.com,20,0,São Paulo,Financial Analyst,S,Diploma,48580.57227272727 AUD,Brazil,48580,AUD,31577.0
16980,Heba Khalil,Heba,Khalil,F,1996-12-04,2021-12-31,hkhalil@gmail.com,29,4,Toronto,Graphic Designer,S,Bachelor,53680.0 CAD,Canada,53680,CAD,39186.4
16982,Ghada Ashraf,Ghada,Ashraf,F,1996-04-09,2019-11-07,ghada.ashraf@gmail.com,29,6,São Paulo,Doctor,M,Diploma,8076.0 EGP,Brazil,8076,EGP,258.43
16983,Nashaat Kamal,Nashaat,Kamal,M,1997-10-25,2025-06-14,nashaat.kamal@gmail.com,28,0,Amman,Pharmacist,S,Bachelor,34096.122758620695 USD,Jordan,34096,USD,34096.0
16985,Sherif Sherif,Sherif,Sherif,M,1982-03-11,2019-08-19,ssherif@gmail.com,43,6,New York,Architect,S,Diploma,7463.92 EUR,United States,7463,EUR,7985.41
16986,Hanan Ihab,Hanan,Ihab,F,1992-12-11,2018-04-08,hihab@gmail.com,33,7,Paris,Business Analyst,S,High School,7099.33 EUR,France,7099,EUR,7595.93
16987,Adel Ashraf,Adel,Ashraf,M,1998-10-26,2026-02-01,adel.ashraf@gmail.com,27,0,Dammam,Electrical Engineer,M,Bachelor,54469.025125 USD,Saudi Arabia,54469,USD,54469.0
16988,Ziad Sami,Ziad,Sami,M,1975-08-23,1994-06-17,ziad.sami@gmail.com,50,31,Sharjah,Mechanical Engineer,S,Bachelor,9042.67 EUR,United Arab Emirates,9042,EUR,9674.94
16989,Nashaat Sherif,Nashaat,Sherif,M,1998-12-19,2024-04-01,nashaat.sherif@gmail.com,27,2,Mumbai,Dentist,S,Bachelor,55418.0 EUR,India,55418,EUR,59297.26
16990,Medhat Saad,Medhat,Saad,M,1975-05-16,1997-07-25,msaad@gmail.com,50,28,Mexico City,Nurse,M,Master,11156.75 USD,Mexico,11156,USD,11156.0
16991,Asmaa Nabil#,Asmaa,Nabil,F,1994-01-06,2013-08-19,asmaa.nabil@gmail.com,31,12,Beijing,Mechanical Engineer,S,Bachelor,12033.33 EUR,China,12033,EUR,12875.31
16993,Maha Sami,Maha,Sami,F,1989-08-17,2010-04-09,msami@gmail.com,36,15,Amman,Data Scientist,S,Bachelor,100030.0 GBP,Jordan,100030,GBP,125037.5
16994,Rania Latif,Rania,Latif,F,1979-04-24,2002-06-03,rania.latif@gmail.com,46,23,Sydney,Lawyer,M,Diploma,12451.33 JPY,Australia,12451,JPY,82.18
16995,Khalil Hossam,Khalil,Hossam,M,1969-09-17,1993-05-25,khalil.hossam@gmail.com,55,32,Kuwait City,Sales Manager,M,Master,102159.0 USD,Kuwait,102159,USD,102159.0
16996,Hassan Hatem,Hassan,Hatem,M,1997-01-20,2020-08-15,hassan.hatem@gmail.com,28,5,Mumbai,Software Developer,S,Masters,87035.0 AUD,India,87035,AUD,56572.75
16997,Amal Kamal,Amal,Kamal,F,1978-02-08,2025-06-23,amal.kamal@gmail.com,47,0,Cape Town,Architect,M,Bachelor,43700.6537037037 AUD,South Africa,43700,AUD,28405.0
16998,Rana Amr,Rana,Amr,F,1969-01-11,1994-02-09,rana.amr@gmail.com,56,32,Dammam,Data Scientist,S,Masters,127211.0 EGP,Saudi Arabia,127211,EGP,4070.75
16999,Nashaat Nashaat,Nashaat,Nashaat,M,1974-05-04,2014-12-24,nashaat.nashaat@gmail.com,51,11,Mexico City,Software Developer,S,Masters,100497.0 JPY,Mexico,100497,JPY,663.28
17000,Heba Yahya,Heba,Yahya,F,1990-11-10,2014-02-09,heba.yahya@gmail.com,35,12,Amman,Architect,M,Bachelor,147749.0 CAD,Jordan,147749,CAD,107856.77
17001,Dina Jamal*,Dina,Jamal,F,1997-02-20,2020-12-09,dina.jamal@gmail.com,28,5,Doha,Financial Analyst,M,Bachelor,88134.0 EGP,Qatar,88134,EGP,2820.29
17002,Rana Galal,Rana,Galal,F,2001-08-25,2021-03-07,rgalal@gmail.com,24,4,Muscat,Sales Manager,M,PhD,67116.0 EUR,Oman,67116,EUR,71814.12
17004,Lina Khalil,Lina,Khalil,F,2007-10-05,2025-08-07,lina.khalil@gmail.com,17,0,Mexico City,Lawyer,S,Bachelor,55385.72851851852 AUD,Mexico,55385,AUD,36000.25
17005,Hanan Tamer,Hanan,Tamer,F,1974-05-07,2004-07-19,htamer@gmail.com,51,21,Mansoura,Accountant,S,Masters,130762.0 AUD,Egypt,130762,AUD,84995.3
17006,Wafaa Ayman,Wafaa,Ayman,F,2000-12-03,2019-05-08,wafaa.ayman@gmail.com,25,6,Beirut,Business Analyst,M,Bachelor,94541.0 AUD,Lebanon,94541,AUD,61451.65
17008,Zainab Hesham,Zainab,Hesham,F,1965-01-26,2016-10-27,zhesham@gmail.com,60,9,Bangkok,Mechanical Engineer,S,Masters,6286.42 USD,Thailand,6286,USD,6286.0
17009,Nour Ihab,Nour,Ihab,F,2005-02-10,2025-04-07,nihab@gmail.com,20,0,Kuwait City,Business Analyst,S,PhD,44347.24238095238 CAD,Kuwait,44347,CAD,32373.31
17010,Hanan Ahmed,Hanan,Ahmed,F,1997-06-21,2016-08-17,hanan.ahmed@gmail.com,28,9,Cairo,Engineer,M,PhD,72731.0 AUD,Egypt,72731,AUD,47275.15
17011,Mariam Ziad,Mariam,Ziad,F,1967-02-03,2010-01-21,mziad@gmail.com,58,16,Istanbul,Civil Engineer,S,High School,9674.75 EGP,Turkey,9674,EGP,309.57
17012,Nashaat Ahmed,Nashaat,Ahmed,M,1994-01-06,2012-02-22,nashaat.ahmed@gmail.com,31,13,Cairo,Doctor,S,Bachelor,9443.58 USD,Egypt,9443,USD,9443.0
17013, Ayman Omar ,Ayman,Omar,M,1976-06-02,2018-05-18,ayman.omar@gmail.com,49,7,Amman,Accountant,S,High School,79239.0 AUD,Jordan,79239,AUD,51505.35
17014,Maged Mahmoud,Maged,Mahmoud,M,1997-08-17,2017-05-26,mmahmoud@gmail.com,28,8,Cairo,Teacher,M,Masters,6413.58 EGP,Egypt,6413,EGP,205.22
17015,Amira Khaled,Amira,Khaled,F,1987-04-13,2018-06-18,amira.khaled@gmail.com,38,7,London,Business Analyst,S,PhD,93127.0 EUR,United Kingdom,93127,EUR,99645.89
17016,Wael Nader,Wael,Nader,M,1983-01-26,2004-12-23,wael.nader@gmail.com,42,21,Dammam,Graphic Designer,M,Bachelor,12284.0 GBP,Saudi Arabia,12284,GBP,15355.0
17017,Hala Nashaat,Hala,Nashaat,F,2002-08-17,2024-02-14,hala.nashaat@gmail.com,23,2,Paris,Software Developer,S,Bachelor,61279.0 GBP,France,61279,GBP,76598.75
17018,Hanan Omar,Hanan,Omar,F,2003-04-09,2024-09-29,homar@gmail.com,22,1,Beijing,Software Developer,S,Bachelor,44593.0404 EUR,China,44593,EUR,47714.51
17019,Noha Hossam,Noha,Hossam,F,1995-03-14,2022-07-20,noha.hossam@gmail.com,30,3,Toronto,Doctor,M,High School,57382.0 GBP,Canada,57382,GBP,71727.5
17020,Hossam Tawfik$,Hossam,Tawfik,M,2002-10-02,2023-07-13,htawfik@gmail.com,23,2,Sharjah,Electrical Engineer,S,Bachelor,4838.67 JPY,United Arab Emirates,4838,JPY,31.93
17021,Khaled Adel,Khaled,Adel,M,2005-03-16,2025-02-27,khaled.adel@gmail.com,20,0,Paris,Doctor,S,Bachelor,68246.54 EUR,France,68246,EUR,73023.22
17022,Hanan Hatem,Hanan,Hatem,F,1990-04-13,2025-05-14,hhatem@gmail.com,35,0,Toronto,Electrical Engineer,M,PhD,49410.522352941174 GBP,Canada,49410,GBP,61762.5
17023,Ziad Hatem,Ziad,Hatem,M,1974-02-08,1998-01-30,ziad.hatem@gmail.com,51,28,Toronto,Engineer,S,Diploma,11414.17 CAD,Canada,11414,CAD,8332.22
17024,Sherif Abdelrahman,Sherif,Abdelrahman,M,1973-08-22,2018-08-05,sherif.abdelrahman@gmail.com,52,7,Tokyo,Financial Analyst,S,High School,74182.0 AUD,Japan,74182,AUD,48218.3
17025,Tawfik Ibrahim,Tawfik,Ibrahim,M,1979-03-07,2001-10-07,tawfik.ibrahim@gmail.com,46,24,Alexandria,Doctor,S,Masters,124676.0 GBP,Egypt,124676,GBP,155845.0
17026,Dina Eslam,Dina,Eslam,F,1983-08-10,2008-07-27,deslam@gmail.com,42,17,Dubai,Civil Engineer,S,Bachelor,9944.08 EGP,United Arab Emirates,9944,EGP,318.21
17027,Sami Omar,Sami,Omar,M,1977-06-26,2010-09-03,sami.omar@gmail.com,48,15,Cairo,Teacher,M,Bachelor,135994.0 AUD,Egypt,135994,AUD,88396.1
17028,Khaled Yahya,Khaled,Yahya,M,1997-10-24,2021-07-31,khaled.yahya@gmail.com,28,4,Dubai,Financial Analyst,S,Bachelor,4195.83 USD,United Arab Emirates,4195,USD,4195.0
17029,Medhat Kareem,Medhat,Kareem,M,1980-12-12,2007-12-09,medhat.kareem@gmail.com,45,18,New York,Data Scientist,S,Masters,9259.42 EGP,United States,9259,EGP,296.29
17030,Ahmed Medhat,Ahmed,Medhat,M,1989-09-12,2012-11-07,ahmed.medhat@gmail.com,36,13,Jeddah,Business Analyst,S,Master,121371.0 EGP,Saudi Arabia,121371,EGP,3883.87
17031,Maged Hesham,Maged,Hesham,M,2000-06-26,2020-04-17,maged.hesham@gmail.com,25,5,Cape Town,Engineer,S,Bachelor,94330.0 JPY,South Africa,94330,JPY,622.58
17033,Medhat Latif,Medhat,Latif,M,2007-08-19,2025-02-28,mlatif@gmail.com,17,0,Mansoura,Software Developer,M,Diploma,52767.995882352945 GBP,Egypt,52767,GBP,65958.75
17034,Menna Kareem,Menna,Kareem,F,1976-10-17,2018-11-20,mkareem@gmail.com,49,7,Sydney,Civil Engineer,S,Masters,83475.0 USD,Australia,83475,USD,83475.0
17035,Jamal Ayman,Jamal,Ayman,M,1969-05-02,2003-06-28,jamal.ayman@gmail.com,56,22,Berlin,Sales Manager,S,Master,11635.0 EUR,Germany,11635,EUR,12449.45
17036,Osama Abdullah,Osama,Abdullah,M,1966-06-17,1995-05-06,osama.abdullah@gmail.com,58,30,Cape Town,Lawyer,S,Bachelor,127845.0 GBP,South Africa,127845,GBP,159806.25
17037,Hesham Khaled,Hesham,Khaled,M,1991-11-22,2023-12-25,hesham.khaled@gmail.com,34,2,Jeddah,Financial Analyst,M,Diploma,5075.17 JPY,Saudi Arabia,5075,JPY,33.49
17038,Hussein Hussein,Hussein,Hussein,M,1972-11-02,2008-07-24,hussein.hussein@gmail.com,53,17,Mumbai,Teacher,S,Masters,12263.67 EUR,India,12263,EUR,13121.41
17039,Latif Rafik,Latif,Rafik,M,1988-02-19,2008-10-24,latif.rafik@gmail.com,37,17,São Paulo,Software Developer,S,Bachelor,102699.0 EUR,Brazil,102699,EUR,109887.93
17040,Sara Zaki,Sara,Zaki,F,2006-07-22,2024-04-28,sara.zaki@gmail.com,18,1,Jeddah,Business Analyst,S,Diploma,49223.543088235296 USD,Saudi Arabia,49223,USD,49223.0
17041,Sahar Nader,Sahar,Nader,F,1989-01-16,2025-01-18,snader@gmail.com,36,1,Mansoura,Electrical Engineer,M,Bachelor,59383.61957746479 GBP,Egypt,59383,GBP,74228.75
17042,Reem Wahid,Reem,Wahid,F,2001-11-20,2022-09-17,reem.wahid@gmail.com,24,3,Jeddah,Doctor,S,Diploma,67577.0 EGP,Saudi Arabia,67577,EGP,2162.46
17043,Amira Ali,Amira,Ali,F,2003-11-20,2022-08-26,amira.ali@gmail.com,22,3,Rabat,Doctor,M,Diploma,69038.0 EUR,Morocco,69038,EUR,73870.66
17044,Bassem Ibrahim,Bassem,Ibrahim,M,1975-02-02,2012-11-28,bassem.ibrahim@gmail.com,50,13,Kuwait City,Civil Engineer,S,PhD,125833.0 AUD,Kuwait,125833,AUD,81791.45
17047, Amal Ramy ,Amal,Ramy,F,1986-05-14,2018-07-11,amal.ramy@gmail.com,39,7,Alexandria,Lawyer,S,High School,94286.0 EGP,Egypt,94286,EGP,3017.15
17048,Youssef Hesham,Youssef,Hesham,M,1967-11-03,2015-04-11,yhesham@gmail.com,57,10,Beirut,Mechanical Engineer,M,Diploma,9373.58 GBP,Lebanon,9373,GBP,11716.25
17049,Ibrahim Abdullah,Ibrahim,Abdullah,M,2001-11-27,2023-02-05,iabdullah@gmail.com,24,3,Mumbai,Data Scientist,S,PhD,4909.17 GBP,India,4909,GBP,6136.25
17050,Amal Hassan,Amal,Hassan,F,1976-03-22,2007-04-30,ahassan@gmail.com,49,18,Alexandria,Business Analyst,M,Bachelor,12415.17 CAD,Egypt,12415,CAD,9062.95
17051,Aisha Rafik,Aisha,Rafik,F,1969-03-09,2016-12-11,aisha.rafik@gmail.com,56,9,São Paulo,Software Developer,S,Diploma,7131.0 AUD,Brazil,7131,AUD,4635.15
17052,Bassem Nashaat,Bassem,Nashaat,M,1979-08-17,1999-01-05,bassem.nashaat@gmail.com,46,27,Amman,Pharmacist,S,Bachelor,9032.25 EUR,Jordan,9032,EUR,9664.24
17053, Khaled Nashaat ,Khaled,Nashaat,M,2005-05-20,2024-03-31,khaled.nashaat@gmail.com,20,1,Toronto,Electrical Engineer,M,Bachelor,49410.522352941174 GBP,Canada,49410,GBP,61762.5
17055,Abdullah Hany,Abdullah,Hany,M,1965-04-26,2006-02-24,ahany@gmail.com,60,19,Tokyo,Lawyer,S,Masters,145230.0 JPY,Japan,145230,JPY,958.52
17056,Asmaa Ihab,Asmaa,Ihab,F,1997-10-07,2023-11-17,asmaa.ihab@gmail.com,28,2,Beirut,Teacher,M,Bachelor,5449.25 AUD,Lebanon,5449,AUD,3541.85
17057,Ruqayya Galal,Ruqayya,Galal,F,1994-09-16,2016-12-06,ruqayya.galal@gmail.com,31,9,New York,Electrical Engineer,S,Master,76367.0 EGP,United States,76367,EGP,2443.74
17058,Galal Fady,Galal,Fady,M,1975-07-04,2014-05-23,galal.fady@gmail.com,50,11,Abu Dhabi,Financial Analyst,M,Master,11467.5 AUD,United Arab Emirates,11467,AUD,7453.55
17059,Galal Amr,Galal,Amr,M,2006-01-17,2024-03-14,galal.amr@gmail.com,19,1,Beijing,Graphic Designer,S,Diploma,78591.20821428571 EUR,China,78591,EUR,84092.37
17061,Ahmed Mostafa,Ahmed,Mostafa,M,1991-09-17,2013-01-09,ahmed.mostafa@gmail.com,34,13,Mansoura,Accountant,S,Masters,11147.42 EUR,Egypt,11147,EUR,11927.29
17062,Layla Fady,Layla,Fady,F,1979-04-04,2023-01-03,layla.fady@gmail.com,46,2,Doha,Financial Analyst,M,PhD,50410.0 AUD,Qatar,50410,AUD,32766.5
17063,Wafaa Hossam,Wafaa,Hossam,F,1982-09-28,2010-11-05,whossam@gmail.com,43,15,Bangkok,Software Developer,M,Bachelor,11268.92 CAD,Thailand,11268,CAD,8225.64
17064,Mahmoud Eslam,Mahmoud,Eslam,M,1986-07-08,2014-06-22,mahmoud.eslam@gmail.com,39,11,Sydney,Sales Manager,M,Master,148475.0 EGP,Australia,148475,EGP,4751.2
17065,Zainab Rafik,Zainab,Rafik,F,1974-08-12,2010-09-27,zainab.rafik@gmail.com,51,15,Seoul,Mechanical Engineer,M,Diploma,146861.0 EUR,South Korea,146861,EUR,157141.27
17066,Wafaa Mostafa,Wafaa,Mostafa,F,1967-01-27,2014-08-17,wmostafa@gmail.com,58,11,Los Angeles,Lawyer,M,Master,12216.67 GBP,United States,12216,GBP,15270.0
17067,Khadija Galal*,Khadija,Galal,F,1982-09-03,2018-11-01,khadija.galal@gmail.com,43,7,Cape Town,Software Developer,M,Diploma,6887.58 EGP,South Africa,6887,EGP,220.38
17068,Menna Hassan,Menna,Hassan,F,1985-05-20,2024-06-28,menna.hassan@gmail.com,40,1,Seoul,Doctor,S,Masters,45275.725 USD,South Korea,45275,USD,45275.0
17069,Ahmed Yahya,Ahmed,Yahya,M,1969-12-07,2017-04-02,ayahya@gmail.com,55,8,Dubai,Graphic Designer,S,Bachelor,82298.0 USD,United Arab Emirates,82298,USD,82298.0
17070,Waleed Hassan,Waleed,Hassan,M,1969-12-17,2013-05-31,waleed.hassan@gmail.com,55,12,Amman,Software Developer,S,Bachelor,12162.75 GBP,Jordan,12162,GBP,15202.5
17071,Menna Khalil,Menna,Khalil,F,1982-07-14,2008-06-20,mkhalil@gmail.com,43,17,Mansoura,Business Analyst,S,Bachelor,143977.0 CAD,Egypt,143977,CAD,105103.21
17072,Hatem Kamal,Hatem,Kamal,M,1988-11-03,2013-04-13,hkamal@gmail.com,37,12,Moscow,Financial Analyst,M,PhD,9323.33 USD,Russia,9323,USD,9323.0
17073,Wahid Eslam,Wahid,Eslam,M,1979-05-19,2015-09-15,wahid.eslam@gmail.com,46,10,Sydney,Lawyer,S,Diploma,149527.0 USD,Australia,149527,USD,149527.0
17074,Amr Khalil,Amr,Khalil,M,1984-03-17,2002-04-24,amr.khalil@gmail.com,41,23,London,Financial Analyst,S,Masters,117003.0 JPY,United Kingdom,117003,JPY,772.22
17075,Amira Eslam,Amira,Eslam,F,1982-05-19,2023-08-22,amira.eslam@gmail.com,43,2,Abu Dhabi,Accountant,M,PhD,4595.17 AUD,United Arab Emirates,4595,AUD,2986.75
17076,Esraa Nader,Esraa,Nader,F,1973-01-10,2019-08-01,enader@gmail.com,52,6,Rabat,Data Scientist,M,Masters,84964.0 EGP,Morocco,84964,EGP,2718.85
17077,Hany Sami,Hany,Sami,M,1998-10-18,2020-10-07,hany.sami@gmail.com,27,5,Toronto,Sales Manager,S,Bachelor,5844.83 EUR,Canada,5844,EUR,6253.08
17078,Wafaa Rafik,Wafaa,Rafik,F,1982-04-07,2004-03-21,wrafik@gmail.com,43,21,Dammam,Teacher,M,High School,144545.0 CAD,Saudi Arabia,144545,CAD,105517.85
17079,Menna Ramy,Menna,Ramy,F,2005-08-12,2024-09-27,menna.ramy@gmail.com,20,1,Tokyo,Accountant,M,High School,58339.864583333336 EUR,Japan,58339,EUR,62422.73
17080,Hanan Ziad,Hanan,Ziad,F,1984-05-20,2024-01-21,hanan.ziad@gmail.com,41,2,Jeddah,Dentist,S,Diploma,4292.08 CAD,Saudi Arabia,4292,CAD,3133.16
